Opened Beagle device on port 0
Sampling rate set to 48000 KHz.
Idle timeout set to 500 ms.
Latency set to 200 ms.
Host interface is high speed.

index,time(ns),USB,status,pid,data0 ... dataN(*)
199,2820850708,USB,( ),COLLAPSED [1 IN/NAK] 
200,2822742687,USB,( OK ),OUT,e1 2c d0 
201,2822769354,USB,( OK ),DATA1,4b 01 81 7f 
202,2822801291,USB,( OK ),ACK,d2 
203,2824742270,USB,( OK ),IN,69 2c d0 
204,2824768000,USB,( OK ),DATA1,4b 00 00 
205,2824794270,USB,( OK ),ACK,d2 
206,2826743166,USB,( OK ),SETUP,2d 2c d0 
207,2826769854,USB,( OK ),DATA0,c3 80 06 02 03 09 04 06 01 14 4b 
208,2826838729,USB,( OK ),ACK,d2 
209,2828742750,USB,( OK ),IN,69 2c d0 
210,2828768125,USB,( OK ),DATA1,4b 30 03 44 00 65 00 6c 00 b3 68 
211,2828836770,USB,( OK ),ACK,d2 
212,2828848729,USB,( ),COLLAPSED [1 IN/NAK] 
213,2830743000,USB,( OK ),IN,69 2c d0 
214,2830768791,USB,( OK ),DATA0,c3 6c 00 20 00 55 00 53 00 93 d5 
215,2830837687,USB,( OK ),ACK,d2 
216,2832743250,USB,( OK ),IN,69 2c d0 
217,2832768583,USB,( OK ),DATA1,4b 42 00 20 00 45 00 6e 00 04 11 
218,2832837270,USB,( OK ),ACK,d2 
219,2834743500,USB,( OK ),IN,69 2c d0 
220,2834768875,USB,( OK ),DATA0,c3 74 00 72 00 79 00 20 00 b3 6d 
221,2834837500,USB,( OK ),ACK,d2 
222,2836743750,USB,( OK ),IN,69 2c d0 
223,2836769562,USB,( OK ),DATA1,4b 4b 00 65 00 79 00 62 00 c3 be 
224,2836838416,USB,( OK ),ACK,d2 
225,2836850395,USB,( ),COLLAPSED [1 IN/NAK] 
226,2838744000,USB,( OK ),IN,69 2c d0 
227,2838769375,USB,( OK ),DATA0,c3 6f 00 61 00 72 00 64 00 c0 55 
228,2838838666,USB,( OK ),ACK,d2 
229,2840744229,USB,( OK ),IN,69 2c d0 
230,2840769895,USB,( OK ),DATA1,4b 00 00 
231,2840796250,USB,( OK ),ACK,d2 
232,2842745145,USB,( OK ),OUT,e1 2c d0 
233,2842771812,USB,( OK ),DATA1,4b 00 00 
234,2842797833,USB,( OK ),ACK,d2 
235,2844745395,USB,( OK ),SETUP,2d 2c d0 
236,2844772062,USB,( OK ),DATA0,c3 80 06 00 03 00 00 ff 00 d4 64 
237,2844841375,USB,( OK ),ACK,d2 
238,2844853270,USB,( ),COLLAPSED [1 IN/NAK] 
239,2846744979,USB,( OK ),IN,69 2c d0 
240,2846770437,USB,( OK ),DATA1,4b 04 03 09 04 09 78 
241,2846818312,USB,( OK ),ACK,d2 
242,2848745895,USB,( OK ),OUT,e1 2c d0 
243,2848772562,USB,( OK ),DATA1,4b 00 00 
244,2848799187,USB,( OK ),ACK,d2 
245,2850746145,USB,( OK ),SETUP,2d 2c d0 
246,2850772812,USB,( OK ),DATA0,c3 80 06 01 03 09 04 ff 00 97 e8 
247,2850842312,USB,( OK ),ACK,d2 
248,2852746395,USB,( OK ),IN,69 2c d0 
249,2852771979,USB,( OK ),DATA1,4b 0a 03 44 00 65 00 6c 00 30 03 
250,2852841062,USB,( OK ),ACK,d2 
251,2852853041,USB,( ),COLLAPSED [1 IN/NAK] 
252,2854745958,USB,( OK ),IN,69 2c d0 
253,2854771812,USB,( OK ),DATA0,c3 6c 00 d3 4f 
254,2854809979,USB,( OK ),ACK,d2 
255,2856746208,USB,( OK ),OUT,e1 2c d0 
256,2856772875,USB,( OK ),DATA1,4b 00 00 
257,2856799208,USB,( OK ),ACK,d2 
258,2858747125,USB,( OK ),SETUP,2d 2c d0 
259,2858773791,USB,( OK ),DATA0,c3 80 06 02 03 09 04 ff 00 97 db 
260,2858843541,USB,( OK ),ACK,d2 
261,2860746708,USB,( OK ),IN,69 2c d0 
262,2860772229,USB,( OK ),DATA1,4b 30 03 44 00 65 00 6c 00 b3 68 
263,2860841395,USB,( OK ),ACK,d2 
264,2860853354,USB,( ),COLLAPSED [1 IN/NAK] 
265,2862746958,USB,( OK ),IN,69 2c d0 
266,2862772666,USB,( OK ),DATA0,c3 6c 00 20 00 55 00 53 00 93 d5 
267,2862842291,USB,( OK ),ACK,d2 
268,2864747208,USB,( OK ),IN,69 2c d0 
269,2864772958,USB,( OK ),DATA1,4b 42 00 20 00 45 00 6e 00 04 11 
270,2864842541,USB,( OK ),ACK,d2 
271,2866747458,USB,( OK ),IN,69 2c d0 
272,2866772791,USB,( OK ),DATA0,c3 74 00 72 00 79 00 20 00 b3 6d 
273,2866842125,USB,( OK ),ACK,d2 
274,2868747020,USB,( OK ),IN,69 2c d0 
275,2868772458,USB,( OK ),DATA1,4b 4b 00 65 00 79 00 62 00 c3 be 
276,2868841708,USB,( OK ),ACK,d2 
277,2868853687,USB,( ),COLLAPSED [1 IN/NAK] 
278,2870747270,USB,( OK ),IN,69 2c d0 
279,2870772645,USB,( OK ),DATA0,c3 6f 00 61 00 72 00 64 00 c0 55 
280,2870842625,USB,( OK ),ACK,d2 
281,2872747520,USB,( OK ),IN,69 2c d0 
282,2872773333,USB,( OK ),DATA1,4b 00 00 
283,2872799520,USB,( OK ),ACK,d2 
284,2874748437,USB,( OK ),OUT,e1 2c d0 
285,2874775104,USB,( OK ),DATA1,4b 00 00 
286,2874801354,USB,( OK ),ACK,d2 
287,2876748687,USB,( OK ),SETUP,2d 2c d0 
288,2876775354,USB,( OK ),DATA0,c3 80 06 00 03 00 00 ff 00 d4 64 
289,2876845312,USB,( OK ),ACK,d2 
290,2876857333,USB,( ),COLLAPSED [1 IN/NAK] 
291,2878748270,USB,( OK ),IN,69 2c d0 
292,2878773645,USB,( OK ),DATA1,4b 04 03 09 04 09 78 
293,2878821604,USB,( OK ),ACK,d2 
294,2880749166,USB,( OK ),OUT,e1 2c d0 
295,2880775854,USB,( OK ),DATA1,4b 00 00 
296,2880801895,USB,( OK ),ACK,d2 
297,2882749416,USB,( OK ),SETUP,2d 2c d0 
298,2882776104,USB,( OK ),DATA0,c3 80 06 01 03 09 04 ff 00 97 e8 
299,2882845479,USB,( OK ),ACK,d2 
300,2884739000,USB,( OK ),IN,69 2c d0 
301,2884764500,USB,( OK ),DATA1,4b 0a 03 44 00 65 00 6c 00 30 03 
302,2884833020,USB,( OK ),ACK,d2 
303,2884844979,USB,( ),COLLAPSED [1 IN/NAK] 
304,2886749250,USB,( OK ),IN,69 2c d0 
